,load_id,pickup,delivery,pickup_lat,pickup_lon,delivery_lat,delivery_lon,distance,equipment,weight,date,market_index,quote_signal,posted_rate
count,48000,48000,48000,48000.0,48000.0,48000.0,48000.0,48000.0,48000,47700.0,48000,47626.0,48000.0,48000.0
unique,48000,64,64,,,,,,3,,304,,,
top,TR-000001,Oklahoma City,Lexington,,,,,,Dry Van,,2025-06-17,,,
freq,1,1242,1197,,,,,,27202,,198,,,
mean,,,,35.64754474875,-90.92896441729165,35.641174907916664,-90.85731029354167,1135.8566541666667,,31028.844004192873,,1.0833867156595136,2.0624678412499997,2373.9806822916667
std,,,,4.315284932191945,13.482431410187987,4.317198800772889,13.476588640205028,728.5644163845357,,9391.440619602112,,0.1680909157944615,0.29139139082151877,1486.4932447622946
min,,,,28.35765,-121.69849,28.35765,-121.69849,70.0,,-47500.0,,0.67639,0.69228,57.22
25%,,,,31.98691,-98.40059,31.98691,-98.40059,550.4,,25800.0,,0.94967,1.89103,1251.5549999999998
50%,,,,35.29479,-88.08915,35.29479,-87.52871,953.3,,31436.5,,1.0558,2.05575,2030.76
75%,,,,39.41104,-83.28506,39.41104,-83.28506,1645.525,,37018.0,,1.21959,2.221685,3330.75
max,,,,44.30296,-69.5,44.30296,-69.5,3439.8,,47500.0,,1.46778,3.61035,25533.0
