pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,12/1/2025,559.3621
Lexington,Fort Wayne,360,Dry Van,32000,12/2/2025,536.69653
Lexington,Fort Wayne,360,Dry Van,32000,12/3/2025,534.22955
Lexington,Fort Wayne,360,Dry Van,32000,12/4/2025,550.2009
Lexington,Fort Wayne,360,Dry Van,32000,12/5/2025,554.5453
Lexington,Fort Wayne,360,Dry Van,32000,12/6/2025,556.01794
Lexington,Fort Wayne,360,Dry Van,32000,12/7/2025,558.8389
Lexington,Fort Wayne,360,Dry Van,32000,12/8/2025,559.3621
Lexington,Fort Wayne,360,Dry Van,32000,12/9/2025,536.69653
Lexington,Fort Wayne,360,Dry Van,32000,12/10/2025,534.22955
Lexington,Fort Wayne,360,Dry Van,32000,12/11/2025,550.2009
Lexington,Fort Wayne,360,Dry Van,32000,12/12/2025,554.5453
Lexington,Fort Wayne,360,Dry Van,32000,12/13/2025,556.01794
Lexington,Fort Wayne,360,Dry Van,32000,12/14/2025,558.8389
Lexington,Fort Wayne,360,Dry Van,32000,12/15/2025,559.3621
Lexington,Fort Wayne,360,Dry Van,32000,12/16/2025,536.69653
Lexington,Fort Wayne,360,Dry Van,32000,12/17/2025,534.22955
Lexington,Fort Wayne,360,Dry Van,32000,12/18/2025,550.2009
Lexington,Fort Wayne,360,Dry Van,32000,12/19/2025,554.5453
Lexington,Fort Wayne,360,Dry Van,32000,12/20/2025,556.01794
Lexington,Fort Wayne,360,Dry Van,32000,12/21/2025,558.8389
Lexington,Fort Wayne,360,Dry Van,32000,12/22/2025,559.3621
Lexington,Fort Wayne,360,Dry Van,32000,12/23/2025,536.69653
Lexington,Fort Wayne,360,Dry Van,32000,12/24/2025,534.22955
Lexington,Fort Wayne,360,Dry Van,32000,12/25/2025,550.2009
Lexington,Fort Wayne,360,Dry Van,32000,12/26/2025,554.5453
Lexington,Fort Wayne,360,Dry Van,32000,12/27/2025,556.01794
Lexington,Fort Wayne,360,Dry Van,32000,12/28/2025,558.8389
Lexington,Fort Wayne,360,Dry Van,32000,12/29/2025,559.3621
Lexington,Fort Wayne,360,Dry Van,32000,12/30/2025,536.69653
Lexington,Fort Wayne,360,Dry Van,32000,12/31/2025,534.22955
